image_path,type,danger,action,split,image_id,caption,target
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911634888998055936_2.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911634888998055936_2,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910688613981200386_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910688613981200386_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\929989819211681793_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,929989819211681793_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911688552936726529_1.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911688552936726529_1,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\27_9_2017\913002540119330816_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,913002540119330816_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\15_11_2017\930883171503177728_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930883171503177728_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910632195068354560_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,910632195068354560_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\15_11_2017\930864332673609728_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930864332673609728_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912427774576644096_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912427774576644096_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\912048104651788289_1.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,912048104651788289_1,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\mexico_earthquake\24_9_2017\911760035457503233_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,911760035457503233_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\929995078533337089_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,929995078533337089_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930002970640388097_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930002970640388097_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930445781424844800_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930445781424844800_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\15_11_2017\930723148818993153_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930723148818993153_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930046898848722944_0.jpg,earthquake,Medium,Assess structural integrity and cordon hazardous zones,train,930046898848722944_0,,Type: earthquake | Danger: Medium | Action: Assess structural integrity and cordon hazardous zones.
