image_path,type,danger,action,split,image_id,caption,target
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930000308033507328_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930000308033507328_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910635961134014464_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910635961134014464_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910658421338275845_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910658421338275845_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930209629589721088_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930209629589721088_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910621512209539073_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910621512209539073_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\930983296682594305_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930983296682594305_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930004462005116933_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930004462005116933_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910659107517952000_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910659107517952000_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910747992898056192_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910747992898056192_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930539345043341312_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930539345043341312_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910554408378884097_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910554408378884097_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930028600992165888_3.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930028600992165888_3,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\29_9_2017\913886101688979456_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,913886101688979456_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\26_9_2017\912466758602313728_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912466758602313728_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910695323273641984_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910695323273641984_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912360028736278528_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912360028736278528_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930445781424844800_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930445781424844800_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930121344179625985_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930121344179625985_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910694845949366272_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910694845949366272_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\18_11_2017\932000082072948736_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,932000082072948736_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910537872205389825_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910537872205389825_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910613883613847553_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910613883613847553_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\5_10_2017\916075589131436032_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,916075589131436032_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930090178990895106_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930090178990895106_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930308604200026112_2.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930308604200026112_2,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930023493160366080_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930023493160366080_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930444320095789057_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930444320095789057_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911701484852490240_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,911701484852490240_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910708152227602438_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910708152227602438_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\14_11_2017\930272493947850752_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930272493947850752_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\17_11_2017\931505905736306690_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,931505905736306690_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912427774576644096_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912427774576644096_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930096683119243264_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930096683119243264_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910540541552623616_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910540541552623616_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910563191700185088_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910563191700185088_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910541389783556096_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910541389783556096_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930050908582563840_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930050908582563840_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\16_11_2017\931103180741595136_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,931103180741595136_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910537940346032128_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910537940346032128_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912163228716814337_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912163228716814337_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910696481723703296_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910696481723703296_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930010119332679682_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930010119332679682_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930028600992165888_2.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930028600992165888_2,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910809662383149058_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910809662383149058_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910723904150237184_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910723904150237184_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\23_9_2017\911673077100146688_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,911673077100146688_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912346493809577984_1.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912346493809577984_1,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\25_9_2017\912232092997767168_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,912232092997767168_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910537563974307842_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910537563974307842_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910698946514771969_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910698946514771969_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910534259542315008_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910534259542315008_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\30_9_2017\914163198177300480_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,914163198177300480_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910813678739558400_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910813678739558400_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\21_9_2017\910749888320868353_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910749888320868353_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910567262834139136_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910567262834139136_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910630400527147014_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910630400527147014_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\929989752882806785_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,929989752882806785_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\mexico_earthquake\20_9_2017\910525541454934019_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,910525541454934019_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930191093785698304_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930191093785698304_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930015597135585280_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930015597135585280_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
D:\code\final_asmt\data_image\iraq_iran_earthquake\13_11_2017\930100714625470464_0.jpg,earthquake,High,Rapid search-and-rescue and medical triage,train,930100714625470464_0,,Type: earthquake | Danger: High | Action: Rapid search-and-rescue and medical triage.
